=== MULTI-TRACK DIAGNOSTIC ENGINE SWEEP ===

--- TRACK: Melbourne ---
Track Caught: 727/1100 (66.09%)

--- CAUGHT COMBINATIONS ---
✅ CAUGHT | Time: 34.0s | Sensor: RPM      | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 34.0s | Sensor: RPM      | Fault: Stuck Value  | Conf:  64.6%
✅ CAUGHT | Time: 34.0s | Sensor: RPM      | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 34.0s | Sensor: RPM      | Fault: Noise        | Conf:  88.2%
✅ CAUGHT | Time: 34.0s | Sensor: Throttle | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 34.0s | Sensor: Throttle | Fault: Drift        | Conf:  92.2%
✅ CAUGHT | Time: 34.0s | Sensor: Brake    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 34.0s | Sensor: nGear    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 34.0s | Sensor: nGear    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 34.0s | Sensor: nGear    | Fault: Noise        | Conf:  79.3%
✅ CAUGHT | Time: 35.0s | Sensor: Speed    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 35.0s | Sensor: Speed    | Fault: Drift        | Conf:  96.3%
✅ CAUGHT | Time: 35.0s | Sensor: Speed    | Fault: Noise        | Conf:  79.9%
✅ CAUGHT | Time: 35.0s | Sensor: RPM      | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 35.0s | Sensor: RPM      | Fault: Stuck Value  | Conf:  68.5%
✅ CAUGHT | Time: 35.0s | Sensor: RPM      | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 35.0s | Sensor: RPM      | Fault: Noise        | Conf:  98.5%
✅ CAUGHT | Time: 35.0s | Sensor: Throttle | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 35.0s | Sensor: Throttle | Fault: Drift        | Conf:  91.1%
✅ CAUGHT | Time: 35.0s | Sensor: Brake    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 35.0s | Sensor: nGear    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 35.0s | Sensor: nGear    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 35.0s | Sensor: nGear    | Fault: Noise        | Conf:  89.4%
✅ CAUGHT | Time: 36.0s | Sensor: Speed    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 36.0s | Sensor: Speed    | Fault: Drift        | Conf:  93.2%
✅ CAUGHT | Time: 36.0s | Sensor: Speed    | Fault: Noise        | Conf:  52.1%
✅ CAUGHT | Time: 36.0s | Sensor: RPM      | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 36.0s | Sensor: RPM      | Fault: Stuck Value  | Conf:  68.4%
✅ CAUGHT | Time: 36.0s | Sensor: RPM      | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 36.0s | Sensor: RPM      | Fault: Noise        | Conf:  97.5%
✅ CAUGHT | Time: 36.0s | Sensor: Throttle | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 36.0s | Sensor: Throttle | Fault: Drift        | Conf:  94.4%
✅ CAUGHT | Time: 36.0s | Sensor: Brake    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 36.0s | Sensor: nGear    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 36.0s | Sensor: nGear    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 36.0s | Sensor: nGear    | Fault: Noise        | Conf:  67.9%
✅ CAUGHT | Time: 37.0s | Sensor: Speed    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 37.0s | Sensor: Speed    | Fault: Drift        | Conf:  95.2%
✅ CAUGHT | Time: 37.0s | Sensor: Speed    | Fault: Noise        | Conf:  59.2%
✅ CAUGHT | Time: 37.0s | Sensor: RPM      | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 37.0s | Sensor: RPM      | Fault: Stuck Value  | Conf:  68.0%
✅ CAUGHT | Time: 37.0s | Sensor: RPM      | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 37.0s | Sensor: RPM      | Fault: Noise        | Conf:  96.5%
✅ CAUGHT | Time: 37.0s | Sensor: Throttle | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 37.0s | Sensor: Throttle | Fault: Drift        | Conf:  95.6%
✅ CAUGHT | Time: 37.0s | Sensor: Brake    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 37.0s | Sensor: nGear    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 37.0s | Sensor: nGear    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 37.0s | Sensor: nGear    | Fault: Noise        | Conf:  46.1%
✅ CAUGHT | Time: 38.0s | Sensor: Speed    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 38.0s | Sensor: Speed    | Fault: Drift        | Conf:  94.5%
✅ CAUGHT | Time: 38.0s | Sensor: Speed    | Fault: Noise        | Conf:  44.8%
✅ CAUGHT | Time: 38.0s | Sensor: RPM      | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 38.0s | Sensor: RPM      | Fault: Stuck Value  | Conf:  76.9%
✅ CAUGHT | Time: 38.0s | Sensor: RPM      | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 38.0s | Sensor: RPM      | Fault: Noise        | Conf:  93.4%
✅ CAUGHT | Time: 38.0s | Sensor: Throttle | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 38.0s | Sensor: Throttle | Fault: Drift        | Conf:  94.1%
✅ CAUGHT | Time: 38.0s | Sensor: Brake    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 38.0s | Sensor: nGear    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 38.0s | Sensor: nGear    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 38.0s | Sensor: nGear    | Fault: Noise        | Conf:  64.4%
✅ CAUGHT | Time: 39.0s | Sensor: Speed    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 39.0s | Sensor: Speed    | Fault: Drift        | Conf:  95.4%
✅ CAUGHT | Time: 39.0s | Sensor: Speed    | Fault: Noise        | Conf:  67.6%
✅ CAUGHT | Time: 39.0s | Sensor: RPM      | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 39.0s | Sensor: RPM      | Fault: Stuck Value  | Conf:  76.7%
✅ CAUGHT | Time: 39.0s | Sensor: RPM      | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 39.0s | Sensor: RPM      | Fault: Noise        | Conf:  98.8%
✅ CAUGHT | Time: 39.0s | Sensor: Throttle | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 39.0s | Sensor: Throttle | Fault: Drift        | Conf:  93.1%
✅ CAUGHT | Time: 39.0s | Sensor: Brake    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 39.0s | Sensor: Brake    | Fault: Noise        | Conf:  51.3%
✅ CAUGHT | Time: 39.0s | Sensor: nGear    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 39.0s | Sensor: nGear    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 39.0s | Sensor: nGear    | Fault: Noise        | Conf:  55.0%
✅ CAUGHT | Time: 40.0s | Sensor: Speed    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 40.0s | Sensor: Speed    | Fault: Drift        | Conf:  95.8%
✅ CAUGHT | Time: 40.0s | Sensor: RPM      | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 40.0s | Sensor: RPM      | Fault: Stuck Value  | Conf:  80.4%
✅ CAUGHT | Time: 40.0s | Sensor: RPM      | Fault: Drift        | Conf: 100.0%
